"","randomise_trials","display","targ","cohort","rhyme","ur","type","targ_pic","cohort_pic","rhyme_pic","ur_pic","audio"
"1",NA,"Introduction","","","","","",".jpg",".jpg",".jpg",".jpg",".wav"
"2",NA,"mouse","bath","bass","path","couch","TCRU","bath.jpg","bass.jpg","path.jpg","couch.jpg","bath.wav"
"3",NA,"mouse","beak","beet","sneak","map","TCRU","beak.jpg","beet.jpg","sneak.jpg","map.jpg","beak.wav"
"4",NA,"mouse","bear","base","pear","jet","TCRU","bear.jpg","base.jpg","pear.jpg","jet.jpg","bear.wav"
"5",NA,"mouse","boot","boom","suit","fox","TCRU","boot.jpg","boom.jpg","suit.jpg","fox.jpg","boot.wav"
"6",NA,"mouse","cage","cave","gauge","hip","TCRU","cage.jpg","cave.jpg","gauge.jpg","hip.jpg","cage.wav"
"7",NA,"mouse","coat","cone","vote","ram","TCRU","coat.jpg","cone.jpg","vote.jpg","ram.jpg","coat.wav"
"8",NA,"mouse","crown","crowd","drown","soup","TCRU","crown.jpg","crowd.jpg","drown.jpg","soup.jpg","crown.wav"
"9",NA,"mouse","dent","desk","tent","brush","TCRU","dent.jpg","desk.jpg","tent.jpg","brush.jpg","dent.wav"
"10",NA,"mouse","gum","gut","drum","whale","TCRU","gum.jpg","gut.jpg","drum.jpg","whale.jpg","gum.wav"
"11",NA,"mouse","hole","hose","goal","cap","TCRU","hole.jpg","hose.jpg","goal.jpg","cap.jpg","hole.wav"
"12",NA,"mouse","horn","horse","corn","bib","TCRU","horn.jpg","horse.jpg","corn.jpg","bib.jpg","horn.wav"
"13",NA,"mouse","lab","lamb","crab","tire","TCRU","lab.jpg","lamb.jpg","crab.jpg","tire.jpg","lab.wav"
"14",NA,"mouse","lips","list","chips","tape","TCRU","lips.jpg","list.jpg","chips.jpg","tape.jpg","lips.wav"
"15",NA,"mouse","mouse","mouth","house","chain","TCRU","mouse.jpg","mouth.jpg","house.jpg","chain.jpg","mouse.wav"
"16",NA,"mouse","mug","mud","pug","cool","TCRU","mug.jpg","mud.jpg","pug.jpg","cool.jpg","mug.wav"
